Species	Gene	Gene_symbol	Start	End	Strand	Class	gene_family_symbol	in_palindrome	palindrome_name	cluster
HomSap	MAGE family member D1	MAGED1	51074768	51174050	+	ANCESTRAL	MAGED1	no		MAGED1
HomSap	MAGE family member D4	MAGED4	51456587	51463967	+	AMPLICONIC	MAGED1	yes	Q3B	MAGED4
HomSap	X antigen family member 2	XAGE2	51640755	51647414	+	ANCESTRAL	GAGE1	no		XAGE2
HomSap	SPANX family member N5	SPANXN5	52081055	52082338	-	AMPLICONIC	SPANXA1	no		SPANXN5_2
HomSap	X antigen family member 5	XAGE5	52096193	52103207	+	AMPLICONIC	GAGE1	no		XAGE5
HomSap	X antigen family member 3	XAGE3	52147439	52153059	-	AMPLICONIC	GAGE1	no		XAGE3
HomSap	family with sequence similarity 156 member B	FAM156B	52176499	52193446	+	AMPLICONIC	FAM156B	yes	Q6A	FAM156B
HomSap	family with sequence similarity 156 member A	FAM156A	52231792	52279984	-	AMPLICONIC	FAM156B	yes	Q6B	FAM156B
HomSap	MAGE family member D2	MAGED2	54098628	54106898	+	ANCESTRAL	MAGED1	no		MAGED2
HomSap	trophinin	TRO	54213910	54224559	+	ANCESTRAL	MAGED1	no		TRO
HomSap	PAGE family member 2B	PAGE2B	54321243	54372032	+	ANCESTRAL	GAGE1	no		PAGE5
HomSap	PAGE family member 5	PAGE5	54513490	54517252	+	ANCESTRAL	GAGE1	no		PAGE5
HomSap	PAGE family member 3	PAGE3	54551564	54558062	-	ANCESTRAL	GAGE1	no		PAGE3
HomSap	spindlin family member 3	SPIN3	56273946	56294627	-	ANCESTRAL	SPIN2A	no		SPIN3
HomSap	zinc finger X-linked duplicated A	ZXDA	57205099	57210129	-	ANCESTRAL	ZXDA	no		ZXDA
HomSap	spindlin family member 4	SPIN4	61772497	61776601	-	ANCESTRAL	SPIN2A	no		SPIN4
HomSap	DMRT like family C1B	DMRTC1B	71210370	71282297	+	AMPLICONIC	DMRTC1B	yes	Q10A	DMRTC1
HomSap	poly(A) binding protein cytoplasmic 1 like 2A	PABPC1L2A	71510785	71513019	-	AMPLICONIC	PABPC1L2B	yes	Q11B	PABPC1L2B
HomSap	poly(A) binding protein cytoplasmic 5	PABPC5	89886956	89890701	+	XTR	PABPC1L2B	no		PABPC5
HomSap	ribosomal protein L36a	RPL36A	99835123	99840269	+	ANCESTRAL	RPL36A-HNRNPH2	no		RPL36A_2
HomSap	armadillo repeat containing X-linked 1	ARMCX1	99995174	99999327	+	ANCESTRAL	ARMCX2	no		ARMCX1
HomSap	armadillo repeat containing X-linked 6	ARMCX6	100059755	100062630	-	ANCESTRAL	ARMCX2	no		ARMCX6
HomSap	armadillo repeat containing X-linked 3	ARMCX3	100067782	100072474	+	ANCESTRAL	ARMCX2	no		ARMCX3
HomSap	armadillo repeat containing X-linked 2	ARMCX2	100099916	100104489	-	ANCESTRAL	ARMCX2	no		ARMCX2
HomSap	t-complex 11 family, X-linked 2	TCP11X2	100904811	100916320	-	AMPLICONIC	TCP11X2	yes	Q12B	TCP11X2
HomSap	thymosin beta 15A	TMSB15A	100958170	100961227	-	ANCESTRAL	TMSB15B	no		TMSB15A
HomSap	G protein-coupled receptor associated sorting protein 2	GPRASP2	101157397	101162682	+	ANCESTRAL	GPRASP2	no		GPRASP2
HomSap	G protein-coupled receptor associated sorting protein 1	GPRASP1	101096438	101104038	+	ANCESTRAL	GPRASP2	no		GPRASP1
HomSap	RAB40A like	RAB40AL	101382231	101383259	+	ANCESTRAL	RAB40A	no		RAB40A
HomSap	nuclear RNA export factor 3	NXF3	101520737	101538070	-	ANCESTRAL	NXF2	no		NXF3
HomSap	transcription elongation factor A like 8	TCEAL8	101699973	101702133	-	ANCESTRAL	TCEAL8	no		TCEAL8
HomSap	H2B.W histone 1	H2BW1	102466207	102468768	+	AMPLICONIC	H2BW2	no		H2BW1
HomSap	H2B.W histone 2	H2BW2	102437461	102439959	-	AMPLICONIC	H2BW2	no		H2BW2
HomSap	cancer/testis antigen family 47 member C1	CT47C1	117450728	117454503	+	ANCESTRAL	CT47C1	no		CT47C1
HomSap	small integral membrane protein 10	SMIM10	133316358	133317840	+	ANCESTRAL	SMIM10L2A	no		SMIM10
HomSap	small integral membrane protein 10 like 2B	SMIM10L2B	133420353	133424080	-	ANCESTRAL	SMIM10L2A	no		SMIM10L2A
HomSap	embryonic testis differentiation homolog B	ETDB	133444747	133446318	-	AMPLICONIC	ETDA	yes	Q16A	ETDB
HomSap	small integral membrane protein 10 like 2A	SMIM10L2A	133747687	133753818	+	ANCESTRAL	SMIM10L2A	no		SMIM10L2A
HomSap	integrator complex subunit 6 like	INTS6L	133846416	133908261	+	ANCESTRAL	SAGE1	no		INTS6L
HomSap	sarcoma antigen 1	SAGE1	134202030	134221779	+	ANCESTRAL	SAGE1	no		SAGE1
HomSap	MAGE family member C3	MAGEC3	140147128	140206644	+	ANCESTRAL	MAGEB18	no		MAGEC3_2
HomSap	MAGE family member C1	MAGEC1	140212676	140218187	+	ANCESTRAL	MAGEB18	no		MAGEC1
HomSap	MAGE family member C2	MAGEC2	140511041	140513989	-	ANCESTRAL	MAGEB18	no		MAGEC2
HomSap	SPANX family member N3	SPANXN3	141818043	141826783	-	ANCESTRAL	SPANXA1	no		SPANXN2
HomSap	SPANX family member N2	SPANXN2	142016971	142025768	-	ANCESTRAL	SPANXA1	no		SPANXN2
HomSap	SPANX family member N1	SPANXN1	143506427	143515132	+	ANCESTRAL	SPANXA1	no		SPANXN1_2
HomSap	endothelium and lymphocyte associated ASCH domain 1	EOLA1	147806368	147821110	+	AMPLICONIC	EOLA1	yes	Q21A	EOLA2
HomSap	MAGE family member A11	MAGEA11	147951770	147980829	-	AMPLICONIC	MAGEB18	no		MAGEA11
HomSap	transmembrane protein 185A	TMEM185A	147862307	147897566	-	AMPLICONIC	TMEM185A	yes	Q22A	TMEM185A
HomSap	MAGE family member A9	MAGEA9	148047665	148053471	+	AMPLICONIC	MAGEB18	yes	Q22B	MAGEA9
HomSap	MAGE family member A8	MAGEA8	148146881	148151523	+	ANCESTRAL	MAGEB18	no		MAGEA8
HomSap	endothelium and lymphocyte associated ASCH domain 2	EOLA2	148191783	148206745	-	AMPLICONIC	EOLA1	yes	Q21B	EOLA2
HomSap	MAGE family member A4	MAGEA4	150180747	150191399	+	ANCESTRAL	MAGEB18	no		MAGEA1
HomSap	MAGE family member A10	MAGEA10	150399374	150404642	-	ANCESTRAL	MAGEB18	no		MAGEA10
HomSap	MAGE family member A2B	MAGEA2B	150981168	150985189	+	AMPLICONIC	MAGEB18	yes	Q24A	MAGEA2
HomSap	MAGE family member A12	MAGEA12	151000336	151004248	+	AMPLICONIC	MAGEB18	no		MAGEA2
HomSap	MAGE family member A2	MAGEA2	151016433	151020454	-	AMPLICONIC	MAGEB18	yes	Q24B	MAGEA2
HomSap	MAGE family member A6	MAGEA6	151032689	151036258	-	AMPLICONIC	MAGEB18	yes	Q24B	MAGEA2
HomSap	PNMA family member 5	PNMA5	151255263	151260555	-	ANCESTRAL	PNMA6E	no		PNMA5
HomSap	PNMA family member 3	PNMA3	151323992	151327987	+	ANCESTRAL	PNMA6E	no		PNMA3
HomSap	MAGE family member A1	MAGEA1	151483624	151488220	-	ANCESTRAL	MAGEB18	no		MAGEA1
HomSap	PNMA family member 6F	PNMA6F	151585209	151589296	-	ANCESTRAL	PNMA6E	no		PNMA6F
HomSap	PNMA family member 6E	PNMA6E	151669233	151687464	-	ANCESTRAL	PNMA6E	no		PNMA6E
HomSap	opsin 1, long wave sensitive	OPN1LW	152417896	152432685	+	ANCESTRAL	OPN1LW	no		OPN1MW
HomSap	testis expressed 28	TEX28	152507099	152531726	-	ANCESTRAL	TEX28	no		TEX28
HomSap	L antigen family member 3	LAGE3	152714284	152715790	-	ANCESTRAL	LAGE3	no		LAGE3
HomSap	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	IKBKG	152777621	152801428	+	ANCESTRAL	IKBKG	no		IKBKG
HomSap	coagulation factor VIII	F8	153072193	153259125	-	ANCESTRAL	F8A2	no		F8
HomSap	H2A.B variant histone 1	H2AB1	153121380	153121966	+	ANCESTRAL	H2AB3	no		H2AB1
HomSap	coagulation factor VIII associated 1	F8A1	153122763	153124469	+	ANCESTRAL	F8A2	no		F8A3
HomSap	H2A.B variant histone 3	H2AB3	153697464	153698054	-	AMPLICONIC	H2AB3	yes	Q29B	H2AB1
HomSap	H2A.B variant histone 2	H2AB2	153618719	153619309	+	AMPLICONIC	H2AB3	yes	Q29A	H2AB1
HomSap	colony stimulating factor 2 receptor subunit alpha	CSF2RA	1116126	1174802	+	PAR	CSF2RA	no		CSF2RA
HomSap	variable charge X-linked 3A	VCX3A	6086887	6088477	-	ANCESTRAL	VCX2	no		VCX
HomSap	variable charge X-linked	VCX	7395939	7397760	+	ANCESTRAL	VCX2	no		VCX
HomSap	variable charge X-linked 2	VCX2	7734626	7735949	-	ANCESTRAL	VCX2	no		VCX
HomSap	variable charge X-linked 3B	VCX3B	8031418	8032978	+	ANCESTRAL	VCX2	no		VCX
HomSap	MAGE family member B6B	MAGEB6B	25747914	25749723	+	ANCESTRAL	MAGEB18	no		MAGEB6
HomSap	MAGE family member B6	MAGEB6	25779752	25782962	+	ANCESTRAL	MAGEB18	no		MAGEB6
HomSap	H2A.L variant histone 3	H2AL3	37397862	37398494	+	ANCESTRAL	H2AB3	no		H2AL3
HomSap	sperm acrosome associated 5B	SPACA5B	47540777	47542771	+	ANCESTRAL	SPACA5	no		SPACA5
HomSap	SSX family member 5	SSX5	47596378	47606957	-	ANCESTRAL	SSX4B	no		SSX3
HomSap	SSX family member 4	SSX4	47792507	47802319	+	AMPLICONIC	SSX4B	yes	Q1A	SSX3
HomSap	SSX family member 4B	SSX4B	47811054	47820934	-	AMPLICONIC	SSX4B	yes	Q1B	SSX3
HomSap	G antigen 12J	GAGE12J	48733900	48741226	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 13	GAGE13	48743423	48750747	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 12B	GAGE12B	48752961	48760273	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 7	GAGE7	48762508	48769798	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 4	GAGE4	48772030	48779324	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 4	LOC124908552	48781522	48788849	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 7-like	LOC124908553	48791047	48798359	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 7-like	LOC124908554	48800557	48807869	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 5	GAGE5	48810109	48817380	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 5	LOC124908555	48819577	48826887	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 7-like	LOC124908556	48829085	48836395	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 1	GAGE1	48838585	48924369	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 12D	GAGE12D	48857671	48865001	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 12E	GAGE12E	48867198	48874521	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 12F	GAGE12F	48876719	48884064	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 12G	GAGE12G	48886258	48893621	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 12H	GAGE12H	48895814	48903137	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 2A	GAGE2A	48905335	48912657	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	G antigen 2D-like	LOC124908557	48914826	48919932	+	ANCESTRAL	GAGE1	no		GAGE1
HomSap	nudix hydrolase 10	NUDT10	50603515	50608810	+	ANCESTRAL	NUDT10	no		NUDT10
HomSap	nudix hydrolase 11	NUDT11	50761304	50767871	-	ANCESTRAL	NUDT10	no		NUDT10
HomSap	centromere protein V like 2	CENPVL2	50952638	50954257	-	AMPLICONIC	CENPVL2	yes	Q2A	CENPVL3
HomSap	centromere protein V like 1	CENPVL1	50982164	50983783	+	AMPLICONIC	CENPVL2	yes	Q2B	CENPVL3
HomSap	MAGE family member D4B	MAGED4B	51333610	51341056	-	AMPLICONIC	MAGED1	yes	Q3A	MAGED4
HomSap	X antigen family member 1A	XAGE1A	51767583	51772587	+	AMPLICONIC	XAGE1A	yes	Q4.1A	XAGE1A
HomSap	X antigen family member 1B	XAGE1B	51783841	51788832	-	AMPLICONIC	XAGE1A	yes	Q4.2B	XAGE1A
HomSap	X antigen family member 1-like	LOC124908558	51796711	51801709	-	AMPLICONIC	XAGE1A	yes	Q4.1B	XAGE1A
HomSap	SSX family member 7	SSX7	51928865	51939709	-	AMPLICONIC	SSX4B	no		SSX3
HomSap	SSX family member 2	SSX2	51981730	51992075	-	AMPLICONIC	SSX4B	yes	Q5A	SSX3
HomSap	SSX family member 2B	SSX2B	52036196	52046488	+	AMPLICONIC	SSX4B	yes	Q5B	SSX3
HomSap	PAGE family member 2	PAGE2	54382141	54385964	+	ANCESTRAL	GAGE1	no		PAGE5
HomSap	spindlin family member 2B	SPIN2B	56418555	56420421	-	ANCESTRAL	SPIN2A	no		SPIN2A
HomSap	spindlin family member 2A	SPIN2A	56433139	56446055	-	ANCESTRAL	SPIN2A	no		SPIN2A
HomSap	zinc finger X-linked duplicated B	ZXDB	56890820	56896286	+	ANCESTRAL	ZXDA	no		ZXDA
HomSap	chromosome X open reading frame 49-like	LOC101059915	70100813	70104795	+	ANCESTRAL	CXorf49B	no		CXorf49
HomSap	chromosome X open reading frame 49	CXorf49	70147706	70151620	-	AMPLICONIC	CXorf49B	yes	Q9A	CXorf49
HomSap	chromosome X open reading frame 49B	CXorf49B	70197076	70200931	+	AMPLICONIC	CXorf49B	yes	Q9B	CXorf49
HomSap	family with sequence similarity 236 member B	FAM236B	71215360	71216155	-	AMPLICONIC	FAM236C	yes	Q10A	FAM236A
HomSap	family with sequence similarity 236 member D	FAM236D	71240914	71241700	-	AMPLICONIC	FAM236C	yes	Q10A	FAM236A
HomSap	DMRT like family C1	DMRTC1	71305532	71377347	-	AMPLICONIC	DMRTC1B	yes	Q10B	DMRTC1
HomSap	family with sequence similarity 236 member C	FAM236C	71346122	71346907	+	AMPLICONIC	FAM236C	yes	Q10B	FAM236A
HomSap	family with sequence similarity 236 member A	FAM236A	71371716	71372468	+	AMPLICONIC	FAM236C	yes	Q10B	FAM236A
HomSap	poly(A) binding protein cytoplasmic 1 like 2B	PABPC1L2B	71436440	71439607	+	AMPLICONIC	PABPC1L2B	yes	Q11A	PABPC1L2B
HomSap	RPL36A-HNRNPH2 readthrough	RPL36A-HNRNPH2	99835123	99858248	+	ANCESTRAL	RPL36A-HNRNPH2	no		RPL36A_2
HomSap	t-complex 11 family, X-linked 1	TCP11X1	100659881	100671381	+	AMPLICONIC	TCP11X2	yes	Q12A	TCP11X2
HomSap	nuclear RNA export factor 2	NXF2	100691761	100771287	+	AMPLICONIC	NXF2	yes	Q12A	NXF2
HomSap	nuclear RNA export factor 2B	NXF2B	100804941	100884503	-	AMPLICONIC	NXF2	yes	Q12B	NXF2
HomSap	ARMCX5-GPRASP2 readthrough	ARMCX5-GPRASP2	101044303	101353019	+	ANCESTRAL	GPRASP2	no		GPRASP2
HomSap	RAB40A, member RAS oncogene family	RAB40A	101946141	101966502	-	ANCESTRAL	RAB40A	no		RAB40A
HomSap	thymosin beta 15B	TMSB15B	102360190	102415483	+	ANCESTRAL	TMSB15B	no		TMSB15A
HomSap	collagen alpha-4(IV) chain-like	LOC124908533	114133519	114138526	-	AMPLICONIC	collagen alpha-4(IV) chain-like	no		HomSap_cluster1
HomSap	collagen alpha-4(IV) chain-like	LOC124908536	114141624	114156332	-	AMPLICONIC	collagen alpha-4(IV) chain-like	no		HomSap_cluster2
HomSap	collagen alpha-4(IV) chain-like	LOC124908535	114141624	114147410	-	AMPLICONIC	collagen alpha-4(IV) chain-like	no		HomSap_cluster1
HomSap	collagen alpha-4(IV) chain-like	LOC124908534	114156477	114168211	-	AMPLICONIC	collagen alpha-4(IV) chain-like	no		HomSap_cluster1
HomSap	Rhox homeobox family member 2B	RHOXF2B	118447422	118452848	-	AMPLICONIC	RHOXF2B	yes	Q15A	RHOXF2
HomSap	Rhox homeobox family member 2	RHOXF2	118533725	118540742	+	AMPLICONIC	RHOXF2B	yes	Q15B	RHOXF2
HomSap	cancer/testis antigen family 47 member B1	CT47B1	119248282	119251541	-	ANCESTRAL	CT47C1	no		CT47B1
HomSap	cancer/testis antigen family 47 member A12	CT47A12	119253165	119256487	-	ANCESTRAL	CT47C1	no		CT47A4
HomSap	cancer/testis antigen family 47 member A11	CT47A11	119258026	119261344	-	ANCESTRAL	CT47C1	no		CT47A4
HomSap	cancer/testis antigen family 47 member A5	CT47A5	119262886	119266208	-	ANCESTRAL	CT47C1	no		CT47A4
HomSap	cancer/testis antigen family 47 member A4	CT47A4	119267746	119271068	-	ANCESTRAL	CT47C1	no		CT47A4
HomSap	cancer/testis antigen family 47 member A3	CT47A3	119272606	119275928	-	ANCESTRAL	CT47C1	no		CT47A4
HomSap	cancer/testis antigen family 47 member A2	CT47A2	119277466	119280788	-	ANCESTRAL	CT47C1	no		CT47A4
HomSap	cancer/testis antigen family 47 member A1	CT47A1	119282336	119285620	-	ANCESTRAL	CT47C1	no		CT47A4
HomSap	embryonic testis differentiation homolog A	ETDA	133577680	133579403	+	AMPLICONIC	ETDA	yes	Q16B	ETDB
HomSap	embryonic testis differentiation homolog C	ETDC	133635289	133635468	+	ANCESTRAL	ETDA	no		ETDB
HomSap	cancer/testis antigen family 45 member A5	CT45A5	134033851	134050363	+	AMPLICONIC	CT45A8	yes	Q17.1A	CT45A3
HomSap	cancer/testis antigen family 45 member A1	CT45A1	134058013	134066160	+	AMPLICONIC	CT45A8	yes	Q17.1A	CT45A3
HomSap	cancer/testis antigen family 45 member A3	CT45A3	134103000	134111149	-	AMPLICONIC	CT45A8	yes	Q17.1B	CT45A3
HomSap	cancer/testis antigen family 45 member A2	CT45A2	134120072	134128473	-	AMPLICONIC	CT45A8	yes	Q17.1B	CT45A3
HomSap	cancer/testis antigen family 45 member A7	CT45A7	134137616	134145723	-	AMPLICONIC	CT45A8	yes	Q17.2B	CT45A3
HomSap	cancer/testis antigen family 45 member A8	CT45A8	134154884	134162973	-	AMPLICONIC	CT45A8	yes	Q17.3B	CT45A3
HomSap	cancer/testis antigen family 45 member A9	CT45A9	134171782	134180171	-	AMPLICONIC	CT45A8	yes	Q17.4B	CT45A3
HomSap	cancer/testis antigen family 45 member A10	CT45A10	134189395	134201774	-	AMPLICONIC	CT45A8	yes	Q17.5B	CT45A3
HomSap	SPANX family member B1	SPANXB1	139319905	139321017	+	AMPLICONIC	SPANXA1	yes	Q19.1A	SPANXB1
HomSap	SPANX family member C	SPANXC	139558834	139559888	-	AMPLICONIC	SPANXA1	yes	Q19.1B	SPANXD
HomSap	sperm protein associated with the nucleus, X-linked, family member A1	SPANXA1	139892394	139893458	-	AMPLICONIC	SPANXA1	yes	Q19.2B	SPANXD
HomSap	SPANX family member A2	SPANXA2	139898434	139899488	+	AMPLICONIC	SPANXA1	yes	Q19.3B	SPANXD
HomSap	SPANX family member D	SPANXD	140006161	140007489	-	AMPLICONIC	SPANXA1	yes	Q19.4B	SPANXD
HomSap	SPANX family member N4	SPANXN4	141334566	141347275	+	ANCESTRAL	SPANXA1	no		SPANXN4
HomSap	chromosome X open reading frame 51B	CXorf51B	145069002	145069642	+	AMPLICONIC	CXorf51B	yes	Q20A	CXorf51B
HomSap	chromosome X open reading frame 51A	CXorf51A	145073947	145074585	-	AMPLICONIC	CXorf51B	yes	Q20B	CXorf51B
HomSap	heat shock transcription factor family, X-linked member 3	HSFX3	147813976	147815690	-	AMPLICONIC	HSFX3	yes	Q21A	HSFX4
HomSap	MAGE family member A9B	MAGEA9B	147847407	147853265	-	AMPLICONIC	MAGEB18	yes	Q22A	MAGEA9
HomSap	heat shock transcription factor family, X-linked 2	HSFX2	147858263	147861065	-	AMPLICONIC	HSFX1	yes	Q22A	HSFX2
HomSap	heat shock transcription factor family, X-linked 1	HSFX1	148039815	148042614	+	AMPLICONIC	HSFX1	yes	Q22B	HSFX2
HomSap	heat shock transcription factor family, X-linked member 4	HSFX4	148197199	148198913	+	AMPLICONIC	HSFX3	yes	Q21B	HSFX4
HomSap	MAGEA10-MAGEA5 readthrough	LOC100533997	150380137	150404642	-	ANCESTRAL	MAGEB18	no		HomSap_cluster1
HomSap	MAGE family member A3	MAGEA3	150965367	150968920	+	AMPLICONIC	MAGEB18	yes	Q24A	MAGEA2
HomSap	CSAG family member 2	CSAG2	150974834	150975846	-	AMPLICONIC	CSAG1	yes	Q24A	CSAG2
HomSap	chondrosarcoma associated gene 1	CSAG1	150994063	151000300	-	AMPLICONIC	CSAG1	yes	Q24A	CSAG1
HomSap	CSAG family member 3	CSAG3	151020472	151026772	+	AMPLICONIC	CSAG1	yes	Q24B	CSAG2
HomSap	PNMA family member 6A	PNMA6A	151340002	151341966	+	AMPLICONIC	PNMA6E	yes	Q25A	PNMA6A
HomSap	paraneoplastic antigen-like protein 6A	LOC128966702	151342560	151347375	-	AMPLICONIC	PNMA6E	yes	Q25B	PNMA6A
HomSap	PWWP domain containing 4	PWWP4	151533668	151546674	+	AMPLICONIC	PWWP4	yes	Q26B	PWWP4
HomSap	opsin 1, medium wave sensitive	OPN1MW	152456258	152470523	+	ANCESTRAL	OPN1LW	no		OPN1MW
HomSap	opsin 1, medium wave sensitive 2	OPN1MW2	152493394	152506924	+	ANCESTRAL	OPN1LW	no		OPN1MW
HomSap	cancer/testis antigen 1A	CTAG1A	152821564	152823242	+	AMPLICONIC	LAGE3	yes	Q28A	CTAG2
HomSap	cancer/testis antigen 1B	CTAG1B	152854032	152855700	-	AMPLICONIC	LAGE3	yes	Q28B	CTAG2
HomSap	cancer/testis antigen 2	CTAG2	152888418	152890020	-	ANCESTRAL	LAGE3	no		CTAG2
HomSap	coagulation factor VIII associated 2	F8A2	153620102	153621808	+	AMPLICONIC	F8A2	yes	Q29A	F8A3
HomSap	coagulation factor VIII associated 3	F8A3	153694962	153696668	-	AMPLICONIC	F8A2	yes	Q29B	F8A3
PanPan	protein kinase cAMP-dependent X-linked catalytic subunit	PRKX	5247944	5352705	-	ANCESTRAL	TBL1X	no		PRKX_2
PanPan	transducin beta like 1 X-linked	TBL1X	11270759	11544772	+	ANCESTRAL	TBL1X	no		TBL1X
PanPan	thymosin beta 4 X-linked	TMSB4X	14759411	14761586	+	ANCESTRAL	TMSB15B	no		TMSB4X
PanPan	MAGE family member B17	MAGEB17	17960802	17969180	+	ANCESTRAL	MAGEB18	no		MAGEB17
PanPan	MAGE family member B5	MAGEB5	28019097	28021331	+	ANCESTRAL	MAGEB18	no		MAGEB5
PanPan	MAGE family member B2	MAGEB2	31999839	32005524	+	ANCESTRAL	MAGEB18	no		MAGEB2
PanPan	MAGE family member B3	MAGEB3	32029051	32031857	+	ANCESTRAL	MAGEB18	no		MAGEB3
PanPan	MAGE family member B16	MAGEB16	37643015	37650720	+	ANCESTRAL	MAGEB18	no		MAGEB16
PanPan	sperm acrosome associated 5	SPACA5	49628747	49631850	+	ANCESTRAL	SPACA5	no		SPACA5
PanPan	PAGE family member 1	PAGE1	51113619	51122363	-	ANCESTRAL	GAGE1	no		PAGE1_3
PanPan	PAGE family member 4	PAGE4	51257071	51262082	+	ANCESTRAL	GAGE1	no		PAGE4
PanPan	centromere protein V like 3	CENPVL3	53004973	53008070	-	ANCESTRAL	CENPVL2	no		CENPVL3
PanPan	MAGE family member D1	MAGED1	53192082	53291363	+	ANCESTRAL	MAGED1	no		MAGED1
PanPan	X antigen family member 2	XAGE2	53762778	53769878	+	ANCESTRAL	GAGE1	no		XAGE2
PanPan	X antigen family member 3	XAGE3	54266321	54271881	-	AMPLICONIC	GAGE1	no		XAGE3
PanPan	family with sequence similarity 156 member A	FAM156A	54326051	54396162	-	AMPLICONIC	FAM156B	yes	Q8B	FAM156B
PanPan	MAGE family member D2	MAGED2	56195451	56203889	+	ANCESTRAL	MAGED1	no		MAGED2
PanPan	trophinin	TRO	56316789	56327602	+	ANCESTRAL	MAGED1	no		TRO
PanPan	PAGE family member 2B	PAGE2B	56470848	56476083	+	ANCESTRAL	GAGE1	no		PAGE5
PanPan	PAGE family member 3	PAGE3	56689270	56694745	-	ANCESTRAL	GAGE1	no		PAGE3
PanPan	spindlin family member 3	SPIN3	58412894	58417850	-	ANCESTRAL	SPIN2A	no		SPIN3
PanPan	zinc finger X-linked duplicated A	ZXDA	59319159	59389907	-	ANCESTRAL	ZXDA	no		ZXDA
PanPan	spindlin family member 4	SPIN4	62898091	63113996	-	ANCESTRAL	SPIN2A	no		SPIN4
PanPan	chromosome X CXorf49B homolog	CXHXorf49B	71438081	71442018	+	AMPLICONIC	CXorf49B	yes	Q11B	CXorf49
PanPan	poly(A) binding protein cytoplasmic 5	PABPC5	91012326	91015349	+	ANCESTRAL	PABPC1L2B	no		PABPC5
PanPan	ribosomal protein L36a	RPL36A	100990209	100995146	+	ANCESTRAL	RPL36A-HNRNPH2	no		RPL36A
PanPan	armadillo repeat containing X-linked 1	ARMCX1	101147778	101151917	+	ANCESTRAL	ARMCX2	no		ARMCX1
PanPan	armadillo repeat containing X-linked 6	ARMCX6	101212229	101215132	-	ANCESTRAL	ARMCX2	no		ARMCX6
PanPan	armadillo repeat containing X-linked 3	ARMCX3	101220196	101224929	+	ANCESTRAL	ARMCX2	no		ARMCX3
PanPan	armadillo repeat containing X-linked 2	ARMCX2	101252466	101257077	-	ANCESTRAL	ARMCX2	no		ARMCX2
PanPan	thymosin beta 15A	TMSB15A	102124449	102127539	-	ANCESTRAL	TMSB15B	no		TMSB15A
PanPan	G protein-coupled receptor associated sorting protein 2	GPRASP2	102206303	102324184	+	ANCESTRAL	GPRASP2	no		GPRASP2
PanPan	G protein-coupled receptor associated sorting protein 1	GPRASP1	102200309	102263893	+	ANCESTRAL	GPRASP2	no		GPRASP1
PanPan	nuclear RNA export factor 3	NXF3	102681710	102700137	-	ANCESTRAL	NXF2	no		NXF3
PanPan	transcription elongation factor A like 8	TCEAL8	102865215	102867424	-	ANCESTRAL	TCEAL8	no		TCEAL8
PanPan	cancer/testis antigen family 47 member C1	CT47C1	118433889	118438381	+	ANCESTRAL	CT47C1	no		CT47C1
PanPan	small integral membrane protein 10	SMIM10	134421239	134422918	+	ANCESTRAL	SMIM10L2A	no		SMIM10
PanPan	small integral membrane protein 10 like 2B	SMIM10L2B	134524605	134528368	-	ANCESTRAL	SMIM10L2A	no		SMIM10L2A
PanPan	small integral membrane protein 10 like 2A	SMIM10L2A	134853319	134859440	+	ANCESTRAL	SMIM10L2A	no		SMIM10L2A
PanPan	integrator complex subunit 6 like	INTS6L	134957922	135019783	+	ANCESTRAL	SAGE1	no		INTS6L
PanPan	MAGE family member C3	MAGEC3	140666586	141338224	+	ANCESTRAL	MAGEB18	no		MAGEC3
PanPan	MAGE family member C1	MAGEC1	141344322	141351174	+	ANCESTRAL	MAGEB18	no		MAGEC1
PanPan	chromosome X CXorf51B homolog	CXHXorf51B	146110029	146110702	+	AMPLICONIC	CXorf51B	yes	Q21A	CXorf51B
PanPan	transmembrane protein 185A	TMEM185A	149422807	149458213	-	AMPLICONIC	TMEM185A	yes	Q22.3A	TMEM185A
PanPan	endothelium and lymphocyte associated ASCH domain 2	EOLA2	150060911	150074774	-	AMPLICONIC	EOLA1	no		EOLA2
